full_text,label,Length,num_words,num_sentence,text_bersih,text_stopword_dihapus,tokenized_text,stemmed_text,tokenized_sent
"@iweng01 @akunbarublek @ignasbowo tpi tujuan awal dari makan siang gratis ini kan untuk perbaikan gizi dan pencegahan stunting? pencegahan stunting ini jls g efektif krn prio nya di anak sekolah, lalu gmn kl misal anak itu ga suka lauknya/pnya alergi? anak kecil kbnykn picky eater jd berkemungkinan besar g dimkn",0,313,56,3,"tpi tujuan awal dari makan siang gratis ini kan untuk perbaikan gizi dan pencegahan stunting? pencegahan stunting ini jls g efektif krn prio nya di anak sekolah, lalu gmn kl misal anak itu ga suka lauknya/pnya alergi? anak kecil kbnykn picky eater jd berkemungkinan besar g dimkn","tujuan makan siang gratis perbaikan gizi pencegahan stunting ? pencegahan stunting jls g efektif prio anak sekolah , gmn anak suka lauknya/pnya alergi ? anak picky eater berkemungkinan g dimkn","['tujuan', 'makan', 'siang', 'gratis', 'perbaikan', 'gizi', 'pencegahan', 'stunting', '?', 'pencegahan', 'stunting', 'jls', 'g', 'efektif', 'prio', 'anak', 'sekolah', ',', 'gmn', 'anak', 'suka', 'lauknya/pnya', 'alergi', '?', 'anak', 'picky', 'eater', 'berkemungkinan', 'g', 'dimkn']","['tuju', 'makan', 'siang', 'gratis', 'baik', 'gizi', 'cegah', 'stunting', '', 'cegah', 'stunting', 'jls', 'g', 'efektif', 'prio', 'anak', 'sekolah', '', 'gmn', 'anak', 'suka', 'lauk pnya', 'alergi', '', 'anak', 'picky', 'eater', 'mungkin', 'g', 'dimkn']","[554, 2, 3, 1, 281, 55, 368, 41, 368, 41, 942, 122, 555, 943, 6, 7, 282, 6, 123, 944, 945, 946, 6, 947, 948, 949, 122, 950]"
bi dukung program makan siang gratis asalkan tak ganggu stabilitas keuangan https://t.co/otjjgduuox,1,99,14,1,bi dukung program makan siang gratis asalkan tak ganggu stabilitas keuangan,bi dukung program makan siang gratis ganggu stabilitas keuangan,"['bi', 'dukung', 'program', 'makan', 'siang', 'gratis', 'ganggu', 'stabilitas', 'keuangan']","['bi', 'dukung', 'program', 'makan', 'siang', 'gratis', 'ganggu', 'stabilitas', 'uang']","[951, 89, 4, 2, 3, 1, 952, 953, 556]"
"@rizkidimasdwij @masgah_ @ipaahu la iya dana bos aja dikorup, apalagi ada proyek makan siang gratis sama aja kalau sdm sekolahnya sudah korup ya selamanya korup, korupnya tetep sama cuma beda proyek, kalau dulu korupnya proyek beli buku kalau skrng proyek beli susu",0,265,48,1,"_ la iya dana bos aja dikorup, apalagi ada proyek makan siang gratis sama aja kalau sdm sekolahnya sudah korup ya selamanya korup, korupnya tetep sama cuma beda proyek, kalau dulu korupnya proyek beli buku kalau skrng proyek beli susu","_ dana bos dikorup , proyek makan siang gratis sdm sekolahnya korup korup , korupnya tetep beda proyek , korupnya proyek beli buku skrng proyek beli susu","['_', 'dana', 'bos', 'dikorup', ',', 'proyek', 'makan', 'siang', 'gratis', 'sdm', 'sekolahnya', 'korup', 'korup', ',', 'korupnya', 'tetep', 'beda', 'proyek', ',', 'korupnya', 'proyek', 'beli', 'buku', 'skrng', 'proyek', 'beli', 'susu']","['', 'dana', 'bos', 'korup', '', 'proyek', 'makan', 'siang', 'gratis', 'sdm', 'sekolah', 'korup', 'korup', '', 'korup', 'tetep', 'beda', 'proyek', '', 'korup', 'proyek', 'beli', 'buku', 'skrng', 'proyek', 'beli', 'susu']","[9, 11, 369, 49, 2, 3, 1, 370, 954, 214, 214, 557, 160, 283, 49, 557, 49, 124, 284, 558, 49, 124, 16]"
@oposisicerdas ya di gaji sama makan siang gratis lah,0,53,10,1,ya di gaji sama makan siang gratis lah,gaji makan siang gratis,"['gaji', 'makan', 'siang', 'gratis']","['gaji', 'makan', 'siang', 'gratis']","[125, 2, 3, 1]"
"@rhendyw @marufins sama kek stunting, solusinya makan siang gratis tanpa menyelesaikan akar permasalahannya (ditambah alurnya yang ga jelas)",0,140,23,1,"sama kek stunting, solusinya makan siang gratis tanpa menyelesaikan akar permasalahannya (ditambah alurnya yang ga jelas)","stunting , solusinya makan siang gratis menyelesaikan akar permasalahannya ( ditambah alurnya )","['stunting', ',', 'solusinya', 'makan', 'siang', 'gratis', 'menyelesaikan', 'akar', 'permasalahannya', '(', 'ditambah', 'alurnya', ')']","['stunting', '', 'solusi', 'makan', 'siang', 'gratis', 'selesai', 'akar', 'masalah', '', 'tambah', 'alur', '']","[41, 285, 2, 3, 1, 559, 560, 955, 286, 956]"
"@mrstitins @zackxchristy @akunbarublek @ignasbowo gak baca programnya apa gimana ya? targetnya aja makan siang gratis buat anak sekolah, yg putus sekolah ya otomatis gak dapet dong",1,180,32,2,"gak baca programnya apa gimana ya? targetnya aja makan siang gratis buat anak sekolah, yg putus sekolah ya otomatis gak dapet dong","baca programnya ? targetnya makan siang gratis anak sekolah , putus sekolah otomatis dapet","['baca', 'programnya', '?', 'targetnya', 'makan', 'siang', 'gratis', 'anak', 'sekolah', ',', 'putus', 'sekolah', 'otomatis', 'dapet']","['baca', 'program', '', 'target', 'makan', 'siang', 'gratis', 'anak', 'sekolah', '', 'putus', 'sekolah', 'otomatis', 'dapet']","[215, 81, 957, 2, 3, 1, 6, 7, 50, 7, 371, 32]"
"pks: kalau dana bos dipakai makan siang gratis, terus guru honorer mau digaji pakai apa? https://t.co/1ustkomgb1",0,112,21,2,"pks: kalau dana bos dipakai makan siang gratis, terus guru honorer mau digaji pakai apa?","pks : dana bos dipakai makan siang gratis , guru honorer digaji pakai ?","['pks', ':', 'dana', 'bos', 'dipakai', 'makan', 'siang', 'gratis', ',', 'guru', 'honorer', 'digaji', 'pakai', '?']","['pks', '', 'dana', 'bos', 'pakai', 'makan', 'siang', 'gratis', '', 'guru', 'honorer', 'gaji', 'pakai', '']","[372, 9, 11, 126, 2, 3, 1, 42, 90, 216, 22]"
https://t.co/lhpkgdxlr6 bank indonesia dukung program makan siang gratis,1,72,10,1,bank indonesia dukung program makan siang gratis,bank indonesia dukung program makan siang gratis,"['bank', 'indonesia', 'dukung', 'program', 'makan', 'siang', 'gratis']","['bank', 'indonesia', 'dukung', 'program', 'makan', 'siang', 'gratis']","[958, 18, 89, 4, 2, 3, 1]"
@kangmanto123 makan siang gratis receh sampe harus pakai dana bos -_-,0,69,12,1,makan siang gratis receh sampe harus pakai dana bos -_-,makan siang gratis receh sampe pakai dana bos -_-,"['makan', 'siang', 'gratis', 'receh', 'sampe', 'pakai', 'dana', 'bos', '-_-']","['makan', 'siang', 'gratis', 'receh', 'sampe', 'pakai', 'dana', 'bos', '- -']","[2, 3, 1, 959, 56, 22, 9, 11]"
@yandrad31 buat gemoy lover ndak sampai mikir ke situ bang.asal di imingi makan siang gratis aja udah bahagia koq.ðÿ˜’,0,118,21,1,buat gemoy lover ndak sampai mikir ke situ bang.asal di imingi makan siang gratis aja udah bahagia koq.????,gemoy lover ndak mikir situ bang.asal imingi makan siang gratis udah bahagia . ? ? ? ?,"['gemoy', 'lover', 'ndak', 'mikir', 'situ', 'bang.asal', 'imingi', 'makan', 'siang', 'gratis', 'udah', 'bahagia', '.', '?', '?', '?', '?']","['gemoy', 'lover', 'ndak', 'mikir', 'situ', 'bang asal', 'imingi', 'makan', 'siang', 'gratis', 'udah', 'bahagia', '', '', '', '', '']","[39, 960, 373, 287, 288, 961, 962, 374, 2, 3, 1, 13, 561]"
